workload,Q1(#),Q6(#),Q12(#),Q21(#),new-order(#),payment(#),trade-order(#),trade-update(#),Q1(tps),Q6(tps),Q12(tps),Q21(tps),new-order(tps),payment(tps),trade-order(tps),trade-update(tps)
52,6,3,11,13,6,5,5,3,0.078403182,0.050321005,0.027555365,0.016641205,47.58827591,243.6457672,1.02388823,0.065671891
43,1,2,3,4,7,1,11,14,0.045972407,0.08535786,0.017956072,0.012216828,99.0111084,91.11943054,3.43606925,0.386666983
59,11,12,2,6,10,9,4,5,0.119187951,0.192399576,0.005875632,0.008900465,79.1166687,395.1244507,0.617716014,0.087770499
53,6,7,2,13,2,8,10,5,0.088290706,0.137351036,0.005903863,0.019384095,18.06343269,444.3476563,2.012969971,0.092467427
48,7,9,10,1,3,3,7,8,0.114979766,0.19173485,0.03105877,0.001637999,34.08362961,210.5649109,0.947016358,0.099145949
75,5,14,3,3,13,10,14,13,0.062114194,0.250289708,0.009224661,0.00468275,102.147522,423.3691711,1.186882377,0.086145192
51,5,5,9,5,9,13,4,1,0.065853864,0.090130299,0.025968803,0.007406293,63.65946579,539.9904175,105.1419983,0.069116689
59,13,1,13,2,1,11,14,4,0.174618438,0.018266963,0.037162337,0.002971133,8.365841866,575.9588013,2.451305389,0.096821472
60,9,8,9,4,13,2,2,13,0.106804922,0.139891386,0.02564273,0.005865859,101.9962387,93.97219086,0.19110252,0.120817453
45,9,7,0,0,13,11,3,2,0.149218276,0.187410235,0,0,121.2665787,511.1678772,5.231812954,0.082050852
33,3,3,9,12,2,2,1,1,0.056742106,0.06674581,0.026279313,0.017861741,23.14282036,143.7421265,54.42772675,0.098090664
44,2,1,4,13,8,7,7,2,0.039736494,0.022652585,0.012452397,0.02046812,69.19220734,366.9374084,52.55145264,0.102833487
62,10,9,6,8,8,7,7,7,0.11563354,0.143165544,0.016413974,0.011135463,63.52434158,321.0559692,0.830772698,0.087844051
58,9,10,5,9,4,3,8,10,0.119482286,0.176079974,0.014177217,0.012964685,36.83149338,168.5908661,0.79677093,0.112544641
63,12,14,1,9,2,13,7,5,0.130997628,0.209260255,0.002853657,0.012965838,14.19101143,576.0083008,0.853680611,0.065780915
51,11,10,6,1,6,8,7,2,0.138348714,0.187329695,0.018330174,0.001568244,55.49441147,432.4146423,29.90388107,0.064948618
50,9,1,8,3,11,10,5,3,0.132977501,0.0209988,0.024855454,0.004790371,88.84860992,471.6401978,0.95858115,0.0731076
55,6,10,14,14,4,2,2,3,0.070312552,0.13985078,0.030655622,0.015700042,30.18462372,92.86932373,0.319438785,0.063246503
